Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.403141417,-9.016350403,-0.2788700867,2.629731445,9.396160417
2.413144417,-8.465495911,-0.226179657,2.845133514,8.933675781
2.423147417,-7.898924103,-0.2980302429,2.914289703,8.424660734
2.433151417,-7.254963226,-0.3845503235,2.794089661,7.783913373
2.443154417,-6.902146912,-0.5240602112,2.548300781,7.376185191
2.453157417,-6.749913483,-0.7343728638,2.440674591,7.215090296
2.463160417,-6.665039978,-0.8652008057,2.448009338,7.152907106
2.473163417,-6.691983948,-0.9382489014,2.528990936,7.215175349
2.483167417,-6.771768036,-1.003213806,2.569406891,7.311985506
2.493170417,-6.942263489,-1.064885559,2.628084869,7.499055519
2.503173417,-7.19254303,-1.066681824,2.615511017,7.727314102
2.513176417,-7.487130432,-1.083147583,2.519111481,7.973471857
2.523180417,-7.782765656,-1.102607117,2.328557739,8.19813179
2.533183417,-8.180189209,-1.119671631,2.083666992,8.515329012
2.543186417,-8.664731598,-1.261576538,1.898202667,8.959482261
2.553189417,-9.123228149,-1.409618683,1.857637024,9.416535032
2.563193417,-9.639654236,-1.5726297,1.909129944,9.95192821
2.573196417,-10.18781433,-1.864223328,1.939217377,10.53695656
2.583199417,-10.7907605,-2.149530029,1.981279907,11.17973441
2.593202417,-11.39894577,-2.414928131,2.093845825,11.83858239
2.603206417,-12.08631638,-2.78361145,2.271376648,12.60899235
2.613209417,-12.86514679,-3.201093292,2.464026031,13.48445121
2.623212417,-13.53620132,-3.65764389,2.637814636,14.26762668
2.633215417,-14.03316788,-3.995191956,2.800675964,14.85715805
2.643219417,-14.27775925,-4.053420868,2.975662079,15.13734437
2.653222417,-14.33134781,-3.861819305,3.139870605,15.17102389
2.663224792,-14.50753143,-3.648961945,3.192860413,15.29633123
2.673227792,-14.92097168,-3.711980896,3.054997101,15.67632627
2.683230792,-15.46808395,-4.095633087,2.816542969,16.247115
2.693234792,-15.94574066,-4.684807892,2.615361328,16.82421425
2.703237792,-16.06818604,-5.095853119,2.425256653,17.03044895
2.713240792,-15.59382248,-5.125491486,2.205962677,16.56213253
2.723243792,-14.67458405,-4.832251282,1.968556366,15.5746359
2.733247792,-13.80638947,-4.310286713,1.735341339,14.56730487
2.743250792,-13.22350159,-3.861819305,1.606159973,13.8691886
2.753253792,-12.94163773,-3.723057861,1.655557251,13.56790392
2.763256792,-12.89209076,-3.848646698,1.802850952,13.57454814
2.773260792,-12.92083099,-4.285139008,1.864223328,13.73992789
2.783263792,-12.96543823,-5.061574402,1.944606171,14.05359801
2.793266792,-13.02531372,-5.923332367,2.163750458,14.47157489
2.803269792,-12.92951294,-6.653813324,2.453098755,14.74663453
2.813272792,-12.60603561,-7.153025208,2.755170593,14.75360527
2.823276792,-12.04694824,-7.291487274,3.006348267,14.39905825
2.833279792,-11.41062149,-7.005432129,3.123704224,13.74903234
2.843282792,-10.90302704,-6.434519348,3.140319672,13.0437972
2.853285792,-10.63553329,-5.805377655,3.138074341,12.51656857
2.863289792,-10.4018692,-5.207221527,3.150049438,12.05142524
2.873292792,-10.11461655,-4.646936646,3.148552551,11.56775135
2.883295792,-9.935439148,-4.16434021,3.155288544,11.22544103
2.893298792,-9.716743927,-3.710933075,3.193010101,10.880324
2.903302792,-9.456884308,-3.378624115,3.241359558,10.5524487
2.913305792,-9.192983093,-3.110830994,3.274590454,10.24261443
2.923308792,-8.854686584,-2.879711609,3.241808624,9.859388248
2.933311792,-8.513246613,-2.730771332,3.184627533,9.490749837
2.943315792,-8.149952087,-2.618504791,3.103945312,9.105644561
2.953318792,-7.774383087,-2.49935257,2.984643402,8.694589806
2.963321792,-7.481292572,-2.423161011,2.859353943,8.367637229
2.973324792,-7.280859375,-2.375559998,2.708916779,8.123572407
2.983328792,-7.052883453,-2.369273071,2.54605545,7.863778878
2.993331792,-6.831793213,-2.445614319,2.393822021,7.64099547
3.003334792,-6.630611572,-2.531535645,2.218686218,7.436144907
3.013337792,-6.438111877,-2.63976059,2.058369598,7.256342462
3.023340792,-6.265520782,-2.777474213,1.944306793,7.124004673
3.033344792,-6.064189453,-2.924169159,1.821562042,6.97447111
3.043347792,-5.882617035,-3.066223755,1.663640442,6.83919665
3.053350792,-5.702391815,-3.196303253,1.568737793,6.722690322
3.063353792,-5.489384766,-3.334465942,1.560504913,6.609628114
3.073357792,-5.247338104,-3.438200226,1.553319855,6.462861637
3.083360792,-5.089416504,-3.587739258,1.599723358,6.429086106
3.093363792,-4.891228638,-3.734583893,1.678609314,6.378790141
3.103366792,-4.631967773,-3.892505493,1.686542816,6.281015136
3.113370792,-4.456382904,-4.078418884,1.607806549,6.251231165
3.123373792,-4.385131073,-4.268673248,1.479373627,6.295990165
3.133376792,-4.299209747,-4.389322357,1.410217438,6.3038138
3.143379792,-4.259841614,-4.499792633,1.429377594,6.359049034
3.153382792,-4.375550995,-4.656666412,1.474733276,6.557806556
3.163386792,-4.663252716,-4.857997742,1.552870789,6.910678378
3.173389792,-5.054239655,-5.05004837,1.634301453,7.329342963
3.183392792,-5.444927216,-5.247936859,1.708247681,7.752817797
3.193395792,-5.746849365,-5.41633667,1.835632782,8.107559945
3.203399792,-6.047873383,-5.447022858,2.047142944,8.392712595
3.213402792,-6.46355896,-5.37651947,2.268682251,8.708126963
3.223405792,-7.189848633,-5.49941391,2.529440002,9.398699029
3.233408792,-7.964637451,-5.857768707,2.662962341,10.23915389
3.243412792,-8.66922226,-6.283633118,2.54605545,11.00553761
3.253415792,-9.190737762,-6.691085815,2.351609802,11.60906364
3.263418792,-9.413175201,-6.790628815,2.20326828,11.81418208
3.273421792,-9.464967499,-6.529571686,2.236499176,11.7142155
3.283425792,-9.420509949,-5.892197113,2.456691284,11.37977709
3.293428792,-9.339528351,-4.98927475,2.678080902,10.92207717
3.303431792,-9.260492706,-4.10236908,2.78480896,10.50434758
3.313434792,-9.449848938,-3.351380768,2.798131256,10.40965593
3.323437792,-9.813293152,-2.854264526,2.844983826,10.60855699
3.333441792,-10.35756134,-2.837050323,2.92985733,11.1315765
3.343444792,-11.13953522,-3.346141663,3.006497955,12.01353149
3.353447792,-11.80250656,-4.203858032,2.893033905,12.85850803
3.363450792,-12.12224167,-5.064717865,2.628983002,13.39819621
3.373454792,-12.32267487,-5.782924347,2.441123657,13.82930275
3.383457792,-12.52161118,-6.179749146,2.367177429,14.16275308
3.393460792,-12.48508713,-6.151757355,2.238445129,14.09723929
3.403463792,-12.29617996,-5.728138275,2.004032593,13.71217548
3.413467792,-12.01506454,-4.959187317,1.714235229,13.11083206
3.423470792,-11.50522476,-4.201013947,1.499282227,12.3396338
3.433473792,-11.19372253,-3.655997314,1.404379578,11.85909029
3.443476792,-10.84764221,-3.210523682,1.449286194,11.40522838
3.453480792,-10.40097107,-2.681074677,1.587149506,10.85759661
3.463483792,-9.879904633,-2.312391357,1.847158813,10.313664
3.473486792,-9.312434692,-2.053878937,2.29218338,9.807852121
3.483489792,-8.734187164,-1.794468384,2.775977325,9.338746828
3.493492792,-8.227341156,-1.577569427,3.123704224,8.9406597
3.503496792,-7.755522308,-1.388512573,3.319048004,8.549396066
3.513499792,-7.334298248,-1.176852722,3.38970108,8.164985397
3.523502792,-6.968159637,-1.01099762,3.391647034,7.815410067
3.533505792,-6.60860733,-0.887504425,3.308120728,7.443454688
3.543509792,-6.313720551,-0.7999365234,3.158432007,7.104833452
3.553512792,-6.118077393,-0.7310797119,2.937192078,6.82586594
3.563515792,-5.979765015,-0.6881190491,2.701282654,6.59757724
3.573518792,-5.911656647,-0.6875202942,2.467468872,6.442730097
3.583522792,-6.007457428,-0.7632627869,2.287992096,6.473563367
3.593525792,-6.218219147,-0.9101074219,2.171234894,6.648970284
3.603528792,-6.457122345,-1.035995636,2.033670959,6.848615445
3.613531792,-6.800957336,-1.158141632,1.823957062,7.135904434
3.623534792,-7.209008789,-1.229393463,1.665287018,7.500293118
3.633538792,-7.658074951,-1.237326965,1.579216003,7.916502584
3.643541792,-8.262368317,-1.259181519,1.575623474,8.50499016
3.653544792,-8.958420868,-1.333427124,1.594633942,9.19642266
3.663547667,-9.640252991,-1.501377869,1.616937561,9.889545
3.673551667,-10.37103333,-1.784888306,1.649120636,10.65193679
3.683554667,-11.2100386,-2.205812988,1.740879822,11.55686978
3.693557667,-12.00967575,-2.692151642,1.911674652,12.45529976
3.703560667,-12.68656815,-3.079246674,2.177821198,13.23531928
3.713564667,-13.22499847,-3.26575882,2.528841248,13.854992
3.723567667,-13.7448674,-3.386856995,2.907254333,14.45144657
3.733570667,-14.30320633,-3.566034393,3.237767029,15.09243015
3.743573667,-14.72053848,-3.716770935,3.469784546,15.57395403
3.753576667,-14.95689697,-3.730392609,3.680995331,15.84848014
3.763580667,-15.06392441,-3.591182098,3.905528412,15.97095988
3.773583667,-15.0878746,-3.478167114,4.095633087,16.01611117
3.783586667,-15.23441986,-3.713627472,4.205354919,16.23464159
3.793589667,-15.43170959,-4.241878967,4.234843597,16.55491161
3.803593667,-15.48245407,-4.810845795,4.224964142,16.75413213
3.813596667,-15.31944305,-5.230722656,4.263134766,16.73977637
3.823599667,-14.98264343,-5.402714996,4.195325775,16.4702669
3.833602667,-14.6566214,-5.225034485,4.006867676,16.06774797
3.843606667,-14.22896072,-4.747228088,3.79805191,15.47335439
3.853609667,-13.79186966,-4.123774567,3.508853302,14.81665404
3.863612667,-13.51988525,-3.755091248,3.144510956,14.37970642
3.873615667,-13.40402618,-3.801794128,2.741249542,14.19985935
3.883619667,-13.32109863,-4.189338226,2.351759491,14.16096735
3.893622667,-13.14222061,-4.792583771,2.100132751,14.14557809
3.903625667,-12.96004944,-5.448968811,2.133513336,14.21991637
3.913628667,-12.84673508,-6.145919495,2.421514435,14.44557582
3.923631667,-12.49990631,-6.81697403,2.722987518,14.49598061
3.933635667,-11.96132629,-7.1106633,3.01293457,14.23771871
3.943638667,-11.32320328,-6.941365356,3.302582245,13.6859247
3.953641667,-10.75049423,-6.447841644,3.517984314,13.02013831
3.963644667,-10.30247589,-5.858966217,3.552263031,12.37283586
