Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.013997958,0.6526428223,0.4537065125,8.462352448,8.499600061
3.023936958,2.799777832,-1.813927917,6.778504028,7.554945881
3.033876958,3.290607147,-2.581082611,0.623303833,4.228308233
3.043816958,2.391726379,-1.444346466,-5.003644867,5.730877223
3.053756958,4.583318939,-2.188449097,-4.861440582,7.030627745
3.063696958,9.25181076,-4.041894836,-4.743934937,11.15517077
3.073636958,16.86482941,-7.076234894,-4.765190735,18.8998046
3.083575958,25.34080353,-9.991273041,-5.999673615,27.89225598
3.093515958,36.51925781,-14.22432037,-6.137237549,39.66929752
3.103455958,49.00943436,-18.39300156,-3.065325623,52.43685139
3.113395958,57.05894531,-20.15828064,5.223088531,60.74010349
3.123335958,45.42932922,-17.06885513,15.41180099,50.91849742
3.133274958,26.33084473,-12.8557164,7.654332733,30.28484172
3.143214958,18.44165039,-11.52782776,0.08936416626,21.7484084
3.153154958,12.27597198,-10.98760117,-1.414857788,16.53567931
3.163094958,6.860832825,-10.28421387,1.304237823,12.43129592
3.173034958,4.54694458,-8.704698486,2.172582092,10.05816055
3.182973958,4.627626801,-6.436315613,0.9157955933,7.979960529
3.192913958,4.715793457,-4.323609009,-0.250279541,6.402729312
3.202853958,4.427343292,-2.92282196,-1.312770081,5.465127823
3.212793958,4.042792969,-1.971699829,-1.933080139,4.895771035
3.222733958,3.101699982,-1.207089844,-2.04534668,3.906539608
3.232672958,1.716181183,-0.242795105,-1.796264648,2.496155845
3.242612958,0.6737489319,0.5361849976,-1.981728973,2.160713238
3.252552958,0.1676513672,0.949176178,-2.543660431,2.72015639
3.262492958,-0.2263293457,1.329086151,-2.336790619,2.697829751
3.272432958,-0.4085005188,1.801354065,-1.792821808,2.574093855
3.282371958,-0.2634521484,2.262844391,-1.483415222,2.718527633
3.292311958,-0.2841091919,2.535726929,-1.396296387,2.90865479
3.302251958,-0.3427871704,2.676134949,-1.315614166,3.00167319
3.312191958,-0.3742218018,2.611768799,-1.170865173,2.886572963
3.322131958,-0.3718267822,2.429447937,-0.9012757874,2.617779685
3.332070958,-0.506995697,2.020498352,-0.5745053101,2.160905962
3.342010958,-0.7735913086,1.450783081,-0.3417393494,1.679285814
3.351950958,-1.049018555,0.9737251282,-0.04056564331,1.43186107
3.361890958,-1.642534332,0.456101532,1.462009735,2.245756021
3.371830958,-4.267924805,-2.249671783,10.29633865,11.37061102
3.381770958,-3.097359009,-4.104913788,12.54316635,13.55636279
3.391709958,1.945055237,-2.962938538,6.409671021,7.32435166
3.401649958,3.394940186,-1.156495056,-0.8867559814,3.694514291
3.411589958,3.178490295,-0.5242098999,-5.598956909,6.459559973
3.421529958,4.183949432,-0.8048762512,-5.55554718,7.001240112
3.431468958,6.330635376,-1.387165375,-5.353018341,8.405710999
3.441408958,11.57557846,-2.869532776,-6.337521057,13.50527335
3.451348958,23.76637756,-6.314319305,-5.115462341,25.11731048
3.461288958,41.16260193,-10.98176331,-4.588558044,42.84873146
3.471228958,55.02871719,-16.13509689,-5.899831238,57.64814894
3.481168958,70.58257278,-24.66585709,10.26355682,75.46949506
3.491107958,54.25632339,-28.02023163,31.90704895,68.89805354
3.501047958,28.89935349,-20.16980667,11.80310532,37.16593909
3.510987958,21.52134613,-13.66074234,-3.124901733,25.68169059
3.520927958,15.42602142,-9.519304504,-5.732928314,19.01172697
3.530867958,9.42859314,-5.737868042,-5.710175629,12.42689036
3.540806958,5.823939056,-2.890339508,-4.587360535,7.957148062
3.550746958,2.429897003,-1.021176453,-3.066223755,4.043380876
3.560686958,-0.07424560547,0.2537223816,-2.147883453,2.164091215
3.570626958,-1.043031006,0.9189390564,-1.779499512,2.258092376
3.580566958,-1.232686615,1.159788208,-1.716181183,2.410374002
3.590505958,-1.2660672,1.289867706,-1.814676361,2.561197991
3.600445958,-1.232387238,1.356329498,-2.013163605,2.722358483
3.610385958,-1.169817352,1.521885223,-1.934577026,2.725288158
3.620325958,-1.109343109,1.936822357,-1.589993591,2.740438395
3.630265958,-1.046473846,2.300565948,-1.136586456,2.771198291
3.640204958,-1.171613617,2.669997711,-0.3953279114,2.94242254
3.650144958,-1.609602814,3.630999298,1.580114136,4.274545333
3.660084958,-2.589764557,5.146447906,4.184847565,7.120797403
3.670024958,-2.833308105,5.517526245,4.037104797,7.400604423
3.679964958,-2.779120789,5.197342072,3.065475311,6.643268461
3.689903958,-3.052153015,4.704716492,2.221230927,6.03190369
3.699843958,-2.654130707,3.608695679,-0.001796264648,4.479631406
3.709783958,-1.686842194,2.465971985,-1.381626892,3.29170887
3.719723958,-1.364562378,1.461261292,-0.2499801636,2.014895811
3.729663958,-0.6313870239,-0.2396516418,3.933669891,3.991220527
3.739602958,1.638941803,-2.08157135,8.935668182,9.320152112
3.749542958,3.662284241,-2.642604675,7.084318085,8.401383699
3.759482958,1.891017609,-0.5969586182,-1.855840759,2.715962465
3.769422958,1.360071716,-0.1178050232,-3.569776611,3.821907659
3.779362958,2.372266846,-0.3576063538,-3.703448639,4.412602873
3.789301958,4.042044525,-0.5319937134,-4.828808441,6.319693997
3.799241958,10.19799316,-2.014211426,-5.67260376,11.84206678
3.809181958,24.22652069,-5.394332428,-5.61871582,25.44785049
3.819121958,43.34251877,-10.09096573,-4.234394531,44.7027026
3.829061958,63.83235992,-17.13352066,-3.611539764,66.19041413
3.839000958,77.72766449,-24.11066162,1.577419739,81.39657292
3.848940958,57.45621918,-21.66295166,22.1733902,65.28521907
3.858880958,26.61974396,-14.99177444,18.28417786,35.6044271
3.868820958,17.60114822,-11.77975388,0.6277944946,21.18860888
3.878760958,12.67249741,-8.84345993,-5.10857666,16.27564222
3.888700958,7.780370636,-6.373895416,-5.071453857,11.264118
3.898639958,2.720293121,-4.358486481,-1.031205597,5.240208398
3.908579958,-0.7560777283,-2.953358459,1.510808258,3.402428738
3.918519958,-1.920506287,-1.959425354,0.6291416931,2.814873245
3.928459958,-2.079775085,-1.23208786,-0.6068380737,2.492339734
3.938399958,-2.123633881,-0.6014492798,-1.43805954,2.634307753
3.948338958,-2.151925049,-0.1095721436,-1.556014252,2.657812601
3.958278833,-2.20326828,0.3474275208,-1.147663422,2.508431447
3.968218833,-2.076631622,0.8529263306,-0.6048921204,2.325032623
3.978158833,-1.698667603,1.37713623,-0.1761836243,2.193858813
3.988098833,-1.232387238,1.730850677,0.02739303589,2.124940646
3.998037833,-0.9330097961,2.025887146,0.1881587219,2.238331904
4.007977833,-0.7279362488,2.211052094,0.3177891541,2.349389812
4.017917833,-0.6107299805,2.301314392,0.2140548706,2.390577028
4.027857833,-0.6011499023,2.325114899,-0.2359094238,2.413129452
4.037797833,-0.5400769043,2.30745163,-0.6545887756,2.458557006
4.047736833,-0.4492158508,2.295775909,-0.8680448914,2.495172106
4.057676833,-0.4291575623,2.333347778,-0.9589059448,2.558942883
4.067616833,-0.3550616455,2.315834198,-0.8728349304,2.500199516
4.077556833,-0.369282074,2.060165863,-0.1122665405,2.09600964
4.087496833,0.6715036011,0.9448352051,5.914351044,6.026871404
4.097435833,3.047812042,-0.8439450073,11.61644348,12.03923422
4.107375833,2.240989838,-0.6905140686,0.5486091614,2.408280952
4.117315833,1.403780823,-0.1613644409,-2.800376587,3.136677878
4.127255833,3.513942719,-1.10335556,-0.01916015625,3.683144585
4.137195833,9.630672913,-3.300486603,4.530478821,11.14308355
4.147134833,16.59164749,-4.774621124,0.9991722107,17.29387517
4.157074833,26.53651703,-6.896758118,-4.741390228,27.8250389
4.167014833,44.96843765,-10.98819992,-4.136498108,46.47592429
4.176954833,63.44631271,-15.63184341,-1.315614166,65.35686625
4.186894833,71.07235428,-18.51290222,3.86481308,73.54552244
4.196833833,46.41667603,-14.14618286,9.708511047,49.48613432
4.206773833,22.570215,-9.108109589,4.948559418,24.83667662
4.216713833,13.33891159,-6.871610413,-0.4022135925,15.0102421
4.226653833,8.538244629,-5.594017181,-1.74806488,10.35617595
4.236593833,4.954996033,-4.549189911,-0.4396357727,6.740949054
4.246532833,2.98838562,-3.566633148,0.7976911926,4.720977851
4.256472833,1.531016235,-2.623444519,1.39824234,3.343882997
4.266412833,0.2487826538,-1.965861969,1.384770355,2.417456313
4.276352833,-0.5411247253,-1.462309113,0.7188052368,1.716928909
4.286292833,-0.7851173401,-1.01683548,-0.1254391479,1.290774423
4.296232833,-0.429307251,-0.4483177185,-0.8461903381,1.049443462
